id	event	title	url	begin	end	duration	day	location	track	format	level	lang	speakers	last_modified
rp13-session-1959	rp13	Das kleine Digitale und das große Ganze. Internetaktivismus, Netzbewegung und Politik	null	2013-05-07T10:00:00+02:00	2013-05-07T11:00:00+02:00	60	2013-05-07	Stage 4	politics-society	discussion	intermediate	de	Kathrin Ganz, Hans Christian Voigt, Anne Roth	2014-02-24T19:04:35+01:00
rp13-session-1969	rp13	Netzwerkanalyse und politische Öffentlichkeit	null	2013-05-08T13:45:00+02:00	2013-05-08T14:45:00+02:00	60	2013-05-08	Stage 7	politics-society	discussion	intermediate	de	Stefan Heidenreich	2014-02-24T19:04:35+01:00
rp13-session-1978	rp13	Die zukünftige Stadt: Sensoren und vernetzte urbane Kommunikation (Einführungsvortrag mit Diskussion)	null	2013-05-08T16:15:00+02:00	2013-05-08T17:15:00+02:00	60	2013-05-08	Stage 7	science-technology	discussion	intermediate	de	Marc Altenburg	2014-02-24T19:04:35+01:00
rp13-session-1981	rp13	News you can't print - journalism beyond the article	null	2013-05-07T13:00:00+02:00	2013-05-07T13:30:00+02:00	30	2013-05-07	Stage 3	media	workshop	intermediate	en	Annabel Church, Friedrich Lindenberg	2014-02-24T19:04:35+01:00
rp13-session-1984	rp13	DNT: Transatlantic Divide	null	2013-05-07T14:15:00+02:00	2013-05-07T14:45:00+02:00	30	2013-05-07	Stage 7	politics-society	talk	intermediate	en	Walter van Holst	2014-02-24T19:04:35+01:00
rp13-session-1986	rp13	Internet-Meme: Geschichte, Forschungsstand, Kontroversen	null	2013-05-08T15:00:00+02:00	2013-05-08T15:30:00+02:00	30	2013-05-08	Stage 3	culture	talk	intermediate	de	Christian Heller, Nils Dagsson Moskopp	2014-02-24T19:04:35+01:00
rp13-session-2007	rp13	Die vierte Wand als Twitterwall. Eine Schauspiel- Performance mit Hashtag. Ein Experiment.	null	2013-05-08T15:00:00+02:00	2013-05-08T15:30:00+02:00	30	2013-05-08	Stage 4	culture	action	beginner	de	Jeannette Gusko, Bianca Praetorius	2014-02-24T19:04:35+01:00
rp13-session-2010	rp13	Die Liga der Internet-Schurken – "Post Mortem" zum Superhelden-Comic des Digitale Gesellschaft e. V.	null	2013-05-07T18:45:00+02:00	2013-05-07T19:15:00+02:00	30	2013-05-07	Workshop B	culture	talk	beginner	de	Gregor Sedlag	2014-02-24T19:04:35+01:00
rp13-session-2012	rp13	Das heilige Abendmahl	null	2013-05-06T19:45:00+02:00	2013-05-06T20:45:00+02:00	60	2013-05-06	Stage 3	republica	action	beginner	de	Huck Haas, Gerrit Bruce Becht, Maike Hank, Tobias 'schlenzalot' Schramm, Anja Gottschling	2014-02-24T19:04:35+01:00
rp13-session-2016	rp13	Mobile applications as a tool of public participation  in the context of  political crisis in contemporary Russia	null	2013-05-08T14:15:00+02:00	2013-05-08T14:45:00+02:00	30	2013-05-08	Workshop A	politics-society	workshop	beginner	en	Ksenia Ermoshina	2014-02-24T19:04:35+01:00
