id	event	type	name	nickname	photo	organization	position	biography	sessions
rp13-speaker-1682	rp13	speaker	Neil Harbisson	neil-harbisson	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1682.jpg	Cyborg Foundation		Neil Harbisson is a Catalan contemporary artist, composer and cyborg activist best known for his ability to hear colours and to perceive colours outside the ability of human vision.\nNeil was born with achromatopsia, a condition that only allowed him to see in greyscale. In 2003, he took part in the development of the eyeborg, a cybernetic eye permanently attached to his head that allows him to hear the frequencies of colours through bone conduction (including infrareds and ultraviolets). \nHarbisson started to feel like a cyborg, a union between his organism and cybernetics, when he started to hear colours in his dreams. Since then, he creates sonochromatic art works and performances that explore the relationship between colour and sound, and the relationship between bodies and cybernetics.\nIn 2010 he co-founded the Cyborg Foundation with Moon Ribas, an international organization that aims to help people become cyborgs, defend cyborg rights and promote cyborgism as an artistic and social movement.	
rp13-speaker-1681	rp13	speaker	Moon Ribas	moon-ribas	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1681.jpg	Cyborg Foundation		Moon Ribas is a Catalan contemporary choreographer and the co-founder of the Cyborg Foundation, an international organisation that aims to help people become cyborgs, defend cyborg rights and promote cyborgism as an artistic and social movement.\nSince 2007 Moon has been experimenting with different cybernetics devices that allow her to perceive movement with another way of perception.\nHer new research consists in perceiving the movement of real-time earthquakes all around the world, and then translate this new sense on the stage.	
rp13-speaker-1553	rp13	speaker	Felipe Fonseca	felipe-fonseca	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1553.jpg				
rp13-speaker-1983	rp13	speaker	Alexander Mankowsky	alexander-mankowsky	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1983.jpg	Daimler AG	Futures Studies / Society & Technology Research Group		[object Object]
rp13-speaker-2119	rp13	speaker	Beate Wedekind	beate-wedekind	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2119.jpg	THE NEW//AFRICA	founder, CEO and editor-in-chief	Beate Wedekind, 62, founder, CEO and editor-in-chief of THE NEW//AFRICA likes to reinvent herself. Started as a banker, went to Africa as logistics manager in the 70s, changed to journalism when she was 29, was editor-in-chief of ELLE, BUNTE etc.. Produced major TV-shows and media-events, presented her own talkshows on German TV. She has written several books, works for NGOs, supports artists. She lives in Berlin and Addis Ababa. Beate is a passionate networker and likes to work with young professionals.	[object Object]
rp13-speaker-2196	rp13	speaker	Preethi Mariappan	preethi-mariappan	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2196.jpg			Preethi Mariappan has developped the brand building of THE NEW//AFRICA. She is Head of Digital Arts Network for TBWA in Germany. After a career across India and Signapore she moved to Dubai as Creative Director of OgilvyOne and in 2010 switched to TBWA. Her latest sucess was 4 lions at Cannes 2012 for the Red Tomato Pizza VIP Fridge Magnet, including a Gold in mobile. She is the founder of the Adwomen Middle East, an advertising community for women. Preethi is a grand storyteller.	[object Object]
rp13-speaker-2197	rp13	speaker	Julian Tadesse	julian-tadesse	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2197.png			Julian Tadesse is the content manager of THE NEW//AFRICA. He has an MA degree in African Studies and Political Science from Humboldt University Berlin. After completing his studies he worked for the projects and organizations team of betterplace.org. Currently he is a research associate at the Zentrum Moderner Orient Berlin. He has written his thesis on the students movement in the 1960s in Ethiopia and is preparing his Phd on entrepreneurship and the startup scene in Ethiopia. He lives in Berlin and loves to visit his family in Addis Ababa.	[object Object]
rp13-speaker-523	rp13	speaker	Miriam  Quentin	miriam-quentin	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-523.jpg	Bundesverband Internetmedizin	Vorstand	Miriam Quentin ist seit 2005 als PR-Beraterin selbständig und seit 2009 geschäftsführende Gesellschafterin der mediageno Verlags GmbH, einem Tochterunternehmen der Ärztegenossenschaft Nord eG. Zur Kernkompetenz von mediageno gehört die Entwicklung von Internetkonzepten und Mobile Applications für das Gesundheitssystem, zunehmend in Kooperation mit verschiedenen Ärztegruppierungen. Ende 2012 gehörte sie zum Gründungsteam des Bundesverband Internetmedizin, der sich zum Ziel gesetzt hat, der Entwicklung von Internetmedizin im schwierigen deutschen Gesundheitswesen auf die Sprünge zu helfen.	[object Object]
rp13-speaker-1366	rp13	speaker	Tobias Neisecke	tobias-neisecke	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1366.jpg	Polygon Berlin Verein	Arzt, Health 2.0 Spezialist, Kurator re:health	Jahrgang 1973. Geboren in Braunschweig. Weitere Stationen: Dortmund bis zum Abitur,  Krankenpflegeausbildung in Bayreuth, anschließend in Frankfurt/M berufstätig als Krankenpfleger. Seit 1999 in Berlin, Studium der Humanmedizin an der Charité, Approbation als Arzt im Juni 2006.\nZwischen 2006 und 2009 als Entrepreneur mit dem Startup YOUin3D.com GmbH unterwegs, das sich auf Anwendungen und Kommunikationsformen im 3D-Internet spezialisiert hat. Dort auch intensiv mit den Einsatzmöglichkeiten von virtuellen Räumen für medizinische Anwendungen auseinander gesetzt.\nVon 2010 bis 2012 Projektleiter für IT-gestütztes Innovationsmanagement bei der strategischen Unternehmensberatung Schaltzeit GmbH aus Berlin. Dort auch aktiv als Reviewer und Trendscout für Topics aus den Bereichen Health 2.0 und E-Health.\nSeit 2013 Wissenschaftlicher Mitarbeiter an einem  Universitätsklinikum, Arbeitsschwerpunkt Telemedizin und eHealth.\nTobias war Kurator der re:health12, einem Track der re:publica12 und ist regelmäßiger Speaker auf Konferenzen und Fachtagungen zu den Themen Health 2.0, Gesundheitskommunikation, Web 2.0, New Media und Virtuelle Welten. Er bloggt unter Medizin und Neue Medien.	[object Object]
rp13-speaker-2453	rp13	speaker	Markus Müschenich	markus-mueschenich	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2453.jpg	ConceptHealth		Facharzt für Kinderheilkunde und Jugendmedizin\nGesundheitswissenschaftler, Master of Public Health\nVorstand Paul-Gerhardt-Diakonie (2001-2008)\nVorstand Sana Kliniken AG (2009-2012)\nManaging Partner FLYING HEALTH - Die Startup-Manufaktur (2013)\nGründer von ConceptHealth – The Berlin Think Tank in Healthcare (2000)\nGründungsmitglied Bundesverband Internetmedizin (2012)	[object Object]
